Name,Location,Distance,Rate,Grade,Price,Review,TypeRoom,TypeBed,CancellationPolicy,DateOfVacation,SnapShotDate,numOfNights,TimeToTravel
Hilton New York Times Square,"Manhattan, New York",1.4 km from center,7.9,Good,₪ 620,90 reviews,King Room with Mobility Accessible Transfer Shower,1 king bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Hotel Lucerne,"Upper West Side, New York",1.7 km from center,8.5,Very Good,₪ 605,997 reviews,Queen Room with Roll in Shower,1 queen bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Lex Hotel NYC,"Kips Bay, New York",3 km from center,8.1,Very Good,₪ 852,595 reviews,Den Guestroom with King Bed,1 king bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
"Hotel Indigo NYC Financial District, an IHG Hotel","Wall Street - Financial District, New York",7.2 km from center,8.8,Excellent,₪ 752,83 reviews,Superior Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
DoubleTree by Hilton Hotel New York City - Chelsea,"Chelsea, New York",2.5 km from center,7.3,Good,₪ 627,"1,229 reviews",Double Room with Two Double Beds,2 full beds,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Hyatt House New York/Chelsea,"Chelsea, New York",2.5 km from center,8.1,Very Good,₪ 954,543 reviews,Deluxe Queen Room with Two Queen Beds,2 queen beds,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Freehand New York,"Gramercy, New York",3.1 km from center,7.9,Good,"₪ 1,427","1,175 reviews",Standard King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Dylan Hotel NYC,"Murray Hill, New York",1.8 km from center,7.8,Good,₪ 935,"2,337 reviews",Accessible Queen,1 queen bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
The Time New York,"Manhattan, New York",0.8 km from center,7.5,Good,"₪ 1,082","1,204 reviews",Double Room with Two Double Beds,2 full beds,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection","Midtown East, New York",1.5 km from center,8.7,Excellent,₪ 803,520 reviews,1 Queen Bed,1 queen bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Ink 48 Hotel,"Hell's Kitchen, New York",1.2 km from center,7.9,Good,₪ 766,"1,326 reviews",King Room - Non-Smoking,1 king bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Riu Plaza New York Times Square,"Hell's Kitchen, New York",1 km from center,8.4,Very Good,₪ 730,"6,357 reviews",King Room,1 king bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Hard Rock Hotel New York,"Manhattan, New York",1 km from center,8.8,Excellent,₪ 557,"1,283 reviews",Standard Full,1 full bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
The Moore,"Chelsea, New York",3 km from center,8.5,Very Good,"₪ 1,023",870 reviews,Premier Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,"Hell's Kitchen, New York",2.1 km from center,8.2,Very Good,₪ 954,"3,969 reviews",Superior Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
SpringHill Suites by Marriott New York Manhattan/Times Square South,"Hell's Kitchen, New York",1.9 km from center,8.0,Very Good,₪ 876,"4,132 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
"Holiday Inn Express - Times Square South, an IHG Hotel","Manhattan, New York",2 km from center,7.7,Good,₪ 422,"3,281 reviews",Deluxe King Room,1 king bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Four Points by Sheraton Midtown - Times Square,"Hell's Kitchen, New York",1.6 km from center,7.7,Good,₪ 862,"1,875 reviews",Efficiency King Studio with Sofa Bed,"Entire studio • 1 bathroom • 28m²
2 beds (1 king, 1 sofa bed)",FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
OYO Times Square,"Manhattan, New York",1 km from center,6.9,Review score,₪ 840,"1,101 reviews",Standard 1 Full,1 twin bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
33 Seaport Hotel New York,"Wall Street - Financial District, New York",6.9 km from center,8.6,Excellent,₪ 807,280 reviews,King Room with City View,1 king bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
"The Jewel Hotel, New York","Manhattan, New York",1 km from center,8.6,Excellent,₪ 766,"1,659 reviews",Room Selected at Check-In,1 full bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Royalton Park Avenue,"NoMad, New York",2.7 km from center,8.2,Very Good,₪ 788,972 reviews,Full Room,1 full bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
